chapter_id,chapter_abbrev,chapter_title
0,abc,Alphabetical Praise of Women
1,adameve,The Life of Adam and Eve
2,alisaunder,Kyng Alisaunder
3,amiloun,Amis and Amiloun
4,arthur,Of Arthour & of Merlin
5,assumpt,The Assumption of the Blessed Virgin
6,bernard,The Sayings of St Bernard
7,beues,Sir Beues of Hamtoun
8,bodysoul,þe Desputisoun Bitven þe Bodi & þe Soule
9,clerkvirg,The Clerk who would see the Virgin
10,degare,Sir Degare
11,floris,Floris and Blancheflour
12,foes,The Four Foes of Mankind
13,freine,Lay le Freine
14,gregory,The Legend of Pope Gregory
15,guy_cp,Guy of Warwick (couplets)
16,guy_st,Guy of Warwick (stanzas)
17,harrow,The Harrowing of Hell
18,horn,Horn Childe & Maiden Rimnild
19,katerine,Seynt Katerine
20,magdalen,The Life of St Mary Magdalene
21,mergrete,Seynt Mergrete
22,nativity,The Nativity and Early Life of Mary
23,orfeo,Sir Orfeo
24,otuel,Otuel a Kniȝt
25,pater,The Paternoster
26,patrick,St Patrick's Purgatory
27,penny,A Peniworþ of Witt
28,philos,The Sayings of the Four Philosophers
29,psalm,Dauid þe King
30,reinbrun,Reinbroun
31,richard,King Richard
32,roland,Roland and Vernagu
33,sages,The Seven Sages of Rome
34,saute,How Our Lady's Sauter was First Found
35,simonie,þe Simonie
36,sins,On the Seven Deadly Sins
37,smc,The Anonymous Short English Metrical Chronicle
38,speculum,Speculum Gy de Warewyke
39,tars,The King of Tars
40,thrush,The Thrush and the Nightingale
41,tristrem,Sir Tristrem
42,wenche,þe Wenche þat Loved þe King
